"week","Empirical","To.Aware_S1","To.Aware_S2","To.Aware_S3","To.Aware_S4","To.Aware_S5","To.Aware_S6","To.Aware_S7","To.Aware_S11","To.Aware_S12","To.Aware_S13"
0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,2,2,2,1,2,2,2,2,2
2,0,0,1,1,2,1,1,1,1,1,1
3,0,0,1,2,1,1,1,1,1,1,0
4,3,0,1,2,2,1,1,1,1,1,1
5,0,0,1,1,2,0,1,2,1,1,0
6,0,0,1,3,2,2,2,3,1,1,0
7,1,0,1,2,2,3,2,4,0,1,0
8,0,1,3,5,3,2,3,4,1,2,0
9,0,1,1,4,2,2,4,8,1,1,0
10,3,1,1,2,3,2,4,8,0,2,0
11,0,0,2,2,2,3,6,8,0,1,0
12,4,0,1,2,3,2,4,8,0,1,0
13,8,0,1,4,3,3,6,9,0,2,1
14,4,1,2,4,4,4,6,14,1,2,1
15,8,0,2,3,4,5,5,14,1,2,0
16,2,0,1,4,4,6,8,15,0,2,1
17,3,0,2,3,3,7,7,18,0,2,1
18,3,0,2,3,2,6,7,20,0,2,0
19,7,0,0,3,3,4,7,22,0,1,0
20,7,0,0,3,3,5,7,23,0,2,0
21,4,1,2,4,4,6,10,26,1,2,1
22,3,1,2,4,4,7,10,30,2,3,0
23,2,1,2,4,5,6,12,34,3,3,1
24,2,0,2,5,6,7,11,38,4,4,1
25,0,1,2,5,5,9,13,37,5,3,1
26,2,0,1,4,6,6,12,47,5,3,1
27,2,0,2,4,6,9,14,43,3,4,1
28,1,0,2,5,5,8,14,58,2,3,0
29,3,0,2,6,5,9,16,60,1,4,1
30,4,0,1,2,7,11,16,66,1,4,1
31,5,0,1,4,7,7,13,73,1,3,1
32,1,0,1,4,10,9,14,76,0,4,1
33,2,1,2,4,10,10,16,85,1,5,1
34,1,1,2,6,7,12,17,86,1,4,1
35,4,0,2,4,6,11,17,89,2,4,1
36,2,0,3,5,8,13,17,90,2,5,1
37,0,0,2,4,7,11,18,94,2,4,0
38,5,0,1,5,7,11,18,98,3,4,0
39,0,0,1,3,6,11,17,101,2,3,0
40,5,0,1,4,6,11,18,108,2,3,1
41,2,0,0,4,7,10,17,108,3,2,0
42,6,0,1,4,6,10,18,108,3,2,0
43,3,0,1,2,4,9,15,110,2,3,0
44,6,0,0,3,3,8,16,117,1,2,0
45,0,0,0,2,3,10,14,121,1,2,0
46,5,0,1,2,4,7,14,118,2,1,0
47,1,0,1,2,3,7,15,121,1,2,0
48,2,0,1,3,2,6,15,120,1,2,0
49,1,0,1,2,2,6,13,109,1,2,0
50,2,0,0,2,2,5,14,118,1,1,0
51,0,0,0,2,4,5,14,124,1,1,0
52,0,0,0,1,3,5,11,117,1,1,0
53,0,0,1,1,4,5,11,123,1,1,0
54,2,0,1,2,4,6,12,123,2,1,0
55,1,0,1,2,4,5,13,121,2,2,1
56,1,0,0,1,4,5,11,121,2,2,0
57,4,0,0,2,5,5,10,132,1,2,0
58,1,0,1,2,5,5,11,124,2,2,0
59,0,1,1,2,4,4,11,128,3,2,1
60,0,1,1,2,4,4,10,122,2,2,1
61,3,1,1,2,4,3,11,120,3,2,0
62,5,1,1,3,6,4,12,120,3,3,1
63,4,1,1,2,6,5,10,119,2,3,1
64,5,0,0,2,4,4,8,114,2,1,1
65,6,0,1,2,5,4,10,108,4,2,0
66,4,0,1,3,4,4,11,111,3,2,1
67,4,0,1,2,5,5,10,116,2,2,0
68,3,0,0,3,4,4,11,107,3,2,0
69,3,0,1,1,5,6,11,113,4,2,0
70,7,0,2,2,4,6,10,101,4,3,0
71,6,1,1,2,4,6,9,103,4,2,1
72,7,0,1,1,4,4,10,99,3,2,0
73,5,0,1,1,3,4,9,96,4,1,0
74,6,0,0,1,4,3,6,90,3,1,0
75,10,0,0,1,2,3,8,87,3,1,0
76,9,0,0,0,2,3,7,81,2,1,0
77,2,0,1,0,2,2,7,83,2,1,0
78,NA,0,1,0,1,3,6,76,1,0,0
79,NA,0,0,0,0,2,6,74,1,1,0
80,NA,0,0,0,1,2,6,72,1,1,0
81,NA,0,0,0,0,1,6,72,1,0,0
82,NA,0,0,0,0,1,5,69,0,1,0
83,NA,0,0,0,0,2,5,64,0,0,0
84,NA,0,0,0,0,2,5,64,0,0,0
85,NA,0,0,0,0,2,6,62,0,0,0
